vdnumber,registered,valid,spoilt,total
32950683,1111,888,21,909
11640305,582,381,10,391
76370531,1315,651,13,664
86740263,673,430,5,435
54320093,1094,870,11,881
43770977,1158,996,15,1011
32861415,2576,1908,27,1935
22640060,260,153,2,155
86910273,2232,1422,29,1451
43360220,3660,2780,47,2827
21860388,1217,798,12,810
43951192,1985,1602,0,1602
76360822,280,204,1,205
11831004,425,349,8,357
33020569,3846,2857,12,2869
43416558,579,423,7,430
33010030,2818,1908,44,1952
86661973,1808,1165,22,1187
76140985,488,349,0,349
43773374,403,313,11,324
76340178,1196,624,10,634
10890121,539,392,3,395
22400301,351,265,0,265
54510139,1380,1260,18,1278
43670167,2287,1600,43,1643
43991567,407,243,5,248
54610499,1414,1019,18,1037
76140930,802,519,3,522
86661782,1336,1005,21,1026
10820977,326,312,3,315
76400243,631,316,3,319
76150234,888,553,16,569
97091938,1410,1047,0,1047
86663403,251,197,5,202
54540042,1692,1147,32,1179
10871197,379,258,2,260
54330038,2970,2576,9,2585
65130061,1027,837,15,852
22600617,639,556,9,565
11650823,429,334,0,334
43414411,745,580,3,583
33090139,2078,1434,76,1510
43730018,1897,1494,22,1516
32851223,1720,1421,10,1431
11630966,661,416,13,429
43417953,344,412,27,439
43380097,1657,1432,2,1434
54790409,1000,793,10,803
87020018,3871,2559,31,2590
97142373,762,802,3,805
32940503,1754,1537,2,1539
43622388,659,481,9,490
97141844,1611,1334,16,1350
11100283,495,397,3,400
10950320,264,241,3,244
33000017,3692,2612,40,2652
11750486,438,255,6,261
22120287,84,69,1,70
22470049,2434,1835,5,1840
43691878,1727,1259,34,1293
21861727,280,433,1,434
11620730,508,335,7,342
32851357,562,532,9,541
32862371,3368,1996,24,2020
43622692,595,382,7,389
86620079,559,428,4,432
11831420,833,665,8,673
43630039,376,331,7,338
86670287,391,541,2,543
76300668,458,336,8,344
32860223,3287,2537,18,2555
43690068,560,373,14,387
86552039,620,431,6,437
32940176,1604,1201,13,1214
11490027,1288,694,11,705
43370782,2268,1738,6,1744
21861738,836,616,8,624
10300161,2742,1857,40,1897
32950964,3533,2508,12,2520
11751713,138,88,1,89
76520167,211,159,2,161
43412958,402,216,5,221
97410012,2882,1304,20,1324
10030048,628,516,4,520
43470019,1753,1546,12,1558
54250017,885,533,11,544
11490016,1760,1338,20,1358
76260023,2635,1489,11,1500
11630494,646,398,14,412
10251009,2992,2385,30,2415
11690030,439,289,9,298
11781255,338,241,6,247
43361917,1709,1438,27,1465
54790241,1355,1051,8,1059
43670448,2160,1658,28,1686
10820809,698,561,5,566
43504208,320,249,3,252
11830845,523,328,1,329
86551139,518,280,2,282
11650418,630,452,14,466
43416053,2113,1887,27,1914
65350133,48,55,0,55
86920072,678,570,10,580
32930186,1978,1603,16,1619
76480814,396,216,32,248
76211254,656,434,3,437
22820262,89,65,0,65
97140045,2957,2478,3,2481
76481129,230,253,6,259
43360916,3684,2637,31,2668
32841761,776,816,13,829
43361928,1841,1531,22,1553
43880014,454,373,6,379
54160084,350,528,0,528
86552129,731,461,12,473
97092276,5368,3524,78,3602
11740025,1297,1098,28,1126
76380037,477,236,5,241
43413702,1026,709,12,721
43620959,907,607,0,607
32951369,1627,1223,8,1231
87050011,1888,1294,21,1315
76140659,782,505,5,510
32861639,2242,1734,15,1749
97710059,1551,955,15,970
32862786,656,422,3,425
76310388,755,452,7,459
11590444,453,261,4,265
97520328,1086,1037,3,1040
11320041,707,566,6,572
76340583,663,397,2,399
22630104,106,68,2,70
43693320,173,141,8,149
11570071,944,687,10,697
97550028,334,219,10,229
76160190,1180,646,28,674
11620752,953,743,13,756
43775118,312,279,5,284
76300590,405,237,2,239
86742096,63,46,0,46
43412464,1058,930,12,942
76211636,303,270,0,270
43581674,723,523,11,534
