OBJECTID,FKLPROVID,SPROVINCE,FKLMUNICID,SMUNICIPAL,FKLWARDID,PKLVDNUMBE
16868,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701013.00000,76230569.00000
16869,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701013.00000,76230570.00000
16870,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703030.00000,76230581.00000
16871,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703028.00000,76230592.00000
16872,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703028.00000,76230604.00000
16873,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703024.00000,76230615.00000
16874,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703020.00000,76230626.00000
16875,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703025.00000,76230637.00000
16876,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703025.00000,76230648.00000
16877,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703024.00000,76230659.00000
16878,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703031.00000,76230660.00000
16879,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703028.00000,76230671.00000
16880,7.00000,Limpopo,7023.00000,LIM473 - Makhuduthamaga [Ngwaritsi],94703030.00000,76230682.00000
16881,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303014.00000,76240010.00000
16882,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303016.00000,76240021.00000
16883,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303014.00000,76240043.00000
16884,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303016.00000,76240065.00000
16885,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303017.00000,76240076.00000
16886,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303016.00000,76240087.00000
16887,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303034.00000,76240100.00000
16888,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303034.00000,76240111.00000
16889,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303016.00000,76240122.00000
16890,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303034.00000,76240133.00000
16891,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303033.00000,76240144.00000
16892,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303033.00000,76240155.00000
16893,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303032.00000,76240166.00000
16894,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303030.00000,76240177.00000
16895,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303022.00000,76240199.00000
16896,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303030.00000,76240201.00000
16897,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303030.00000,76240212.00000
16898,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303029.00000,76240223.00000
16899,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303033.00000,76240234.00000
16900,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303033.00000,76240245.00000
16901,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303027.00000,76240256.00000
16902,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303028.00000,76240267.00000
16903,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303027.00000,76240278.00000
16904,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303026.00000,76240289.00000
16905,7.00000,Limpopo,7715.00000,LIM354 - Polokwane [Pietersburg],93504033.00000,76240290.00000
16906,7.00000,Limpopo,7715.00000,LIM354 - Polokwane [Pietersburg],93504028.00000,76240302.00000
16907,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303034.00000,76240324.00000
16908,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303032.00000,76240335.00000
16909,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303027.00000,76240346.00000
16910,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303029.00000,76240357.00000
16911,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303029.00000,76240368.00000
16912,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303020.00000,76240379.00000
16913,7.00000,Limpopo,7715.00000,LIM354 - Polokwane [Pietersburg],93504030.00000,76240380.00000
16914,7.00000,Limpopo,7715.00000,LIM354 - Polokwane [Pietersburg],93504030.00000,76240391.00000
16915,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303034.00000,76240403.00000
16916,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303014.00000,76240414.00000
16917,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303014.00000,76240425.00000
16918,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303014.00000,76240436.00000
16919,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303016.00000,76240447.00000
16920,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303028.00000,76240458.00000
16921,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303016.00000,76240469.00000
16922,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303034.00000,76240470.00000
16923,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303027.00000,76240481.00000
16924,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303030.00000,76240492.00000
16925,7.00000,Limpopo,7704.00000,LIM333 - Greater Tzaneen [Tzaneen],93303033.00000,76240504.00000
